path , current_top_folder , current_subpath , artifact_type , role_candidate , domain_area , purpose_family , proposed_home , coupling_role , one_line_purpose , grouping_question , lifecycle_stage , disposition , confidence
tools/skill/skill_registry_validate.script.ts , skill , skill , typescript_executable , domain_skill , skill , governance/registries , tools/governance/registries/skill/skill_registry_validate.script.ts , library , SKILLS.yaml validation engine , , on_demand , keep , high
tools/spec/PLAN_PUNCHLIST.md , spec , spec , markdown_doc , doc_or_snippet , spec , governance/specs , tools/governance/specs/PLAN_PUNCHLIST.md , doc , Spec Kit planning punchlist , , on_demand , keep , high
tools/spec/feature_init.script.ts , spec , spec , typescript_executable , domain_spec , spec , governance/specs , tools/governance/specs/feature_init.script.ts , entrypoint , Scaffold new Spec Kit feature folder , Extract bin/spec.script.ts shim before folder move , on_demand , keep , high
tools/spec/gate.sh , spec , spec , shell_script , bash_helper , spec , governance/specs , tools/governance/specs/gate.sh , entrypoint , Spec Kit gate shell wrapper , Bash co-locates with purpose family , on_demand , keep , med
tools/spec/import_legacy.script.ts , spec , spec , typescript_executable , domain_spec , spec , governance/specs , tools/governance/specs/import_legacy.script.ts , entrypoint , Import legacy assets/docs/specs into Spec Kit , , on_demand , keep , high
tools/spec/library_manifest.script.ts , spec , spec , typescript_executable , domain_spec , spec , governance/specs , tools/governance/specs/library_manifest.script.ts , entrypoint , Legacy spec library manifest and git mv plan , , on_demand , keep , high
tools/spec/lint.script.ts , spec , spec , typescript_executable , domain_spec , spec , governance/specs , tools/governance/specs/lint.script.ts , entrypoint , Spec Kit spec.md lint , , on_demand , keep , high
tools/spec/mise-tasks.snippet.toml , spec , spec , toml_snippet , doc_or_snippet , spec , governance/specs , tools/governance/specs/mise-tasks.snippet.toml , doc , Copy-paste mise task snippet for spec workflows , , on_demand , keep , high
tools/spec/opencode_check.sh , spec , spec , shell_script , bash_helper , spec , governance/specs , tools/governance/specs/opencode_check.sh , entrypoint , Shell script helper , Bash co-locates with purpose family , on_demand , keep , med
tools/spec/trace.script.ts , spec , spec , typescript_executable , domain_spec , spec , governance/specs , tools/governance/specs/trace.script.ts , entrypoint , Cross-check spec.md @spec tags vs Gherkin , , on_demand , keep , high
tools/spec/worktree-add.sh , spec , spec , shell_script , bash_helper , spec , governance/specs , tools/governance/specs/worktree-add.sh , entrypoint , Shell script helper , Bash co-locates with purpose family , on_demand , keep , med
tools/test/nav-simulator.html , test , test , html_fixture , fixture_static , fixture , support/spikes , tools/support/spikes/nav-simulator.html , fixture , Manual nav HTML spike (not automated test fixture) , , dev_loop , keep , high
tools/mise/tools_inventory_report.script.ts , mise , mise , typescript_executable , entrypoint_mise , cross_task , bin , tools/bin/tools_inventory_report.script.ts , entrypoint , Enrich tools inventory CSV from source + live repo , Same role as catalog/test shims — flat tools/bin/ , on_demand , relocate , high
tools/mise/generate_inventory_report.script.ts , mise , mise , typescript_executable , unclassified , other , bin , tools/bin/generate_inventory_report.script.ts , review , One-off report from elysia capability inventory.yml , disposition delete — stale one-off , on_demand , delete , low
