path,sandbox,external_ref_count,purpose_summary,doc_family,doc_type,borghei_analog,mutability_class,rogue_reference_kind,priority,recommended_option,handling_suggestion,handle,migration_status
assets/docs/archive/PROJECT_CONTEXT.md,assets/docs,2,Rejected graphify consolidation artifact,throwaway,rejected_rollup,NOT living documentation—discard per doc-standards stale removal,feature_scoped_scratchpad,markdown_link,P1,B,Delete or archive; remove all agent_entry links; do not migrate to guides,(delete),absent
assets/docs/archive/014-command-palette-filter-ux/HANDOFF.md,assets/docs,1,Agent handoff for filter UX feature,session_transfer,agent_handoff,agent-workflow-designer sequential pipeline handoff (ephemeral—not living doc),feature_scoped_scratchpad,markdown_link,P2,A,Remove README link; handoffs expire when feature ships,(scratchpad),done
assets/docs/archive/014-command-palette-filter-ux/requirements.md,assets/docs,1,Filter UX EARS,feature_sdd,sdd_requirements,cs-architecture-reviewer evaluation requirements (feature-scoped EARS),feature_scoped_scratchpad,markdown_link,P2,A,Remove external links; open only when task names slug,(scratchpad),pending
assets/docs/archive/014-command-palette-filter-ux/tasks.md,assets/docs,1,Filter UX implementation tasks,feature_sdd,sdd_tasks,documentation-standards implementation plan / task list,feature_scoped_scratchpad,markdown_link,P2,A,Remove guide links; tasks stay in slug folder for implementors,(scratchpad),pending
assets/docs/archive/018-e2e/quality-baseline.json,assets/docs,1,E2e metrics baseline for CI compare,machine_manifest,test_metrics_baseline,doc-drift-detector CI artifact / score baseline,feature_scoped_scratchpad,markdown_link,P1,A,Move to tools/metrics/baselines/e2e-quality/; ingest via e2e_metrics harness only,tools/metrics/baselines/e2e-quality/quality-baseline.json,done
assets/docs/archive/002-ci-build-packaging/design.md,assets/docs,1,CI packaging design,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P1,B,Migrate normative parts to LOGGING_GUIDE/CRG.md/CI_GUIDE; leave spec as scratchpad,assets/guides/CI_GUIDE.md,pending
assets/docs/archive/013-codebase-quality-audit/requirements.md,assets/docs,1,Quality audit scope,feature_sdd,sdd_requirements,cs-architecture-reviewer evaluation requirements (feature-scoped EARS),feature_scoped_scratchpad,markdown_link,P2,A,Remove external links; open only when task names slug,(scratchpad),pending
assets/docs/archive/022-graph/design.md,assets/docs,1,Code review graph design,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P1,B,Migrate normative parts to LOGGING_GUIDE/CRG.md/CI_GUIDE; leave spec as scratchpad,assets/guides/CRG.md,pending
assets/docs/archive/022-graph/requirements.md,assets/docs,1,CRG requirements,feature_sdd,sdd_requirements,cs-architecture-reviewer evaluation requirements (feature-scoped EARS),feature_scoped_scratchpad,markdown_link,P2,A,Remove external links; open only when task names slug,(scratchpad),pending
assets/docs/archive/022-graph/tasks.md,assets/docs,1,CRG tasks,feature_sdd,sdd_tasks,documentation-standards implementation plan / task list,feature_scoped_scratchpad,markdown_link,P2,A,Remove guide links; tasks stay in slug folder for implementors,(scratchpad),pending
assets/docs/archive/029-normalise-specs/tasks.md,assets/docs,1,Spec normalisation task ledger,feature_sdd,sdd_tasks,documentation-standards implementation plan / task list,feature_scoped_scratchpad,config_or_runtime_path,Keep,C,mise.toml LEDGER constant—runtime exception; not a documentation link,assets/guides/DOC_AUTHORITY.md,keep
assets/docs/archive/036-shortcuts/design.md,assets/docs,1,Shortcuts feature design,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P2,A,Remove README marketing links; task-scoped access only,(scratchpad),done
assets/docs/archive/036-shortcuts/requirements.md,assets/docs,1,Shortcuts EARS,feature_sdd,sdd_requirements,cs-architecture-reviewer evaluation requirements (feature-scoped EARS),feature_scoped_scratchpad,markdown_link,P2,A,Remove external links; open only when task names slug,(scratchpad),pending
assets/docs/archive/036-shortcuts/tasks.md,assets/docs,1,Shortcuts tasks,feature_sdd,sdd_tasks,documentation-standards implementation plan / task list,feature_scoped_scratchpad,markdown_link,P2,A,Remove guide links; tasks stay in slug folder for implementors,(scratchpad),pending
tools/preview/server.ts,tools,16,Browser preview server; RPC mirror for dev/e2e,dev_runtime,dev_server_entrypoint,cs-doc-writer: project structure / dev usage (README workflow—not architecture ADR),high_churn_with_code,config_or_runtime_path,Keep,Keep,Legitimate runtime coupling; skills may mention tools/preview/server.ts; strip only if duplicated in normative guides,assets/guides/MISE_GUIDE.md,keep
tools/hooks/commit_message.script.ts,tools,9,HK commit-message validator,executable_policy,git_hook_script,Living docs update trigger (documentation-standards: living documentation enforced by tooling),high_churn_with_code,config_or_runtime_path,Keep,C,Keep path references in hk.pkl/package.json/AGENTS; document commit policy in guides without duplicating hook logic,assets/guides/GIT_COMMITS_GUIDE.md,keep
tools/metrics/harnesses/e2e-quality/e2e_metrics.script.ts,tools,6,JUnit + scenario-scores metrics merge,dev_runtime,ci_metrics_script,doc-drift-detector: generated metrics artifact pattern,high_churn_with_code,config_or_runtime_path,P1,C,Reads tools/metrics/baselines/e2e-quality/*; allowlisted in DOC_AUTHORITY,tools/metrics/baselines/e2e-quality/quality-baseline.json,done
tools/scripts/compile_renderer_styles.sh,tools,4,Compile renderer CSS for preview/CI,dev_runtime,build_ci_script,documentation-standards: living docs updated with structural/CI changes,high_churn_with_code,config_or_runtime_path,Keep,Keep,Keep package.json/CI references; document commands in MISE_GUIDE/CI_GUIDE not file paths,assets/guides/CI_GUIDE.md,keep
tools/governance/specs/library_manifest.script.ts,tools,4,Verify/generate library.yaml,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/DOC_AUTHORITY.md,keep

tools/preview/mock_electroview.ts,tools,1,Electrobun view mock for preview build,dev_runtime,dev_server_entrypoint,cs-doc-writer: project structure / dev usage (README workflow—not architecture ADR),high_churn_with_code,config_or_runtime_path,Keep,Keep,Legitimate runtime coupling; skills may mention tools/preview/server.ts; strip only if duplicated in normative guides,assets/guides/ELECTROBUN.md,keep
tools/rules/no-bun-test-helper-outside-tests.yml,tools,1,ast-grep fitness: test helpers,fitness_function,ast_grep_rule,Decision assurance / fitness function (ADR repo; doc-standards quality checklist),high_churn_with_code,config_or_runtime_path,Keep,C,Keep rule file; in guides cite rule ID or ast-grep path only if needed—prefer describing policy in prose without path link to assets/docs; link to tools/rules is OK as fitness-function pointer,assets/guides/TESTING_GUIDE.md,keep
tools/rules/no-test-helper-filename-outside-tests.yml,tools,1,ast-grep fitness: test helper filenames,fitness_function,ast_grep_rule,Decision assurance / fitness function (ADR repo; doc-standards quality checklist),high_churn_with_code,config_or_runtime_path,Keep,C,Keep rule file; in guides cite rule ID or ast-grep path only if needed—prefer describing policy in prose without path link to assets/docs; link to tools/rules is OK as fitness-function pointer,assets/guides/TESTING_GUIDE.md,keep
tools/scripts/check_renderer_css_tokens.sh,tools,1,CSS token lint script,dev_runtime,build_ci_script,documentation-standards: living docs updated with structural/CI changes,high_churn_with_code,config_or_runtime_path,Keep,Keep,Keep package.json/CI references; document commands in MISE_GUIDE/CI_GUIDE not file paths,assets/guides/STYLING_GUIDE.md,keep
tools/scripts/check_spec_testing_guide.sh,tools,1,Spec/testing guide sync check,dev_runtime,build_ci_script,documentation-standards: living docs updated with structural/CI changes,high_churn_with_code,config_or_runtime_path,Keep,Keep,Keep package.json/CI references; document commands in MISE_GUIDE/CI_GUIDE not file paths,assets/guides/TESTING_GUIDE.md,keep
tools/governance/specs/feature_init.script.ts,tools,1,Spec Kit feature init,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/DOC_AUTHORITY.md,keep
tools/governance/specs/gate.sh,tools,1,Spec Kit gate script,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/DOC_AUTHORITY.md,keep
tools/governance/specs/lint.script.ts,tools,1,Spec Kit lint,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/DOC_AUTHORITY.md,keep
tools/governance/specs/opencode_check.sh,tools,1,OpenCode validation,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/DOC_AUTHORITY.md,keep
tools/governance/specs/trace.script.ts,tools,1,Spec trace to Gherkin features,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/BDD_GHERKIN_GUIDE.md,keep
tools/governance/specs/worktree-add.sh,tools,1,Git worktree helper,dev_runtime,spec_kit_cli,cs-architecture-reviewer: migration/tooling workflow scripts,high_churn_with_code,config_or_runtime_path,Keep,C,Keep mise.toml wiring; DOC_AUTHORITY runtime exception; no markdown links from guides,assets/guides/GIT_GUIDE.md,keep
tools/act/event.json,tools,1,act local CI fixture,machine_config,tooling_fixture,Generated/local config (not living documentation),high_churn_with_code,config_or_runtime_path,Keep,Keep,Keep .gitignore/actrc/mise references only,(self),keep
tools/container-structure-test.yml,tools,1,Container structure test config,machine_config,tooling_fixture,Generated/local config (not living documentation),high_churn_with_code,config_or_runtime_path,Keep,Keep,Keep .gitignore/actrc/mise references only,(self),keep
e2e/preview_list_nav.e2e.spec.ts,e2e,5,Smoke Playwright spec,test_harness,smoke_test_spec,cs-doc-writer: usage/examples (README quick start—not normative policy),high_churn_with_tests,config_or_runtime_path,Keep,Keep,Keep package.json/README script references; optional mention in TESTING_GUIDE as command not file path,assets/guides/TESTING_GUIDE.md,keep
e2e/support/fixtures.support.ts,e2e,2,Playwright fixtures,test_harness,playwright_support_module,Test infrastructure (analogous to API test fixtures—not user docs),high_churn_with_tests,config_or_runtime_path,Keep,Keep,Keep playwright.config.ts/knip entries; no guide links needed,playwright.config.ts,keep
e2e/support/preview_with_fixture.support.ts,e2e,2,Preview + DB fixture support,test_harness,playwright_support_module,Test infrastructure (analogous to API test fixtures—not user docs),high_churn_with_tests,config_or_runtime_path,Keep,Keep,Keep playwright.config.ts/knip entries; no guide links needed,playwright.config.ts,keep
e2e/support/global_teardown.support.ts,e2e,1,Global teardown hook,test_harness,playwright_support_module,Test infrastructure (analogous to API test fixtures—not user docs),high_churn_with_tests,config_or_runtime_path,Keep,Keep,Keep playwright.config.ts/knip entries; no guide links needed,playwright.config.ts,keep
